Event,Site,TP.Conc,SRP.conc
10/17/2019,DCS Tile,1550,NA
10/17/2019,DCS Sur,4040,NA
10/17/2019,DCN Sur,5970,NA
10/17/2019,DCN Tile,2770,NA
10/23/2019,DCS Tile,NA,NA
10/23/2019,DCS Sur,NA,NA
10/23/2019,DCN Sur,2670,NA
10/23/2019,DCN Tile,NA,NA
10/27/2019,DCS Tile,1650,403
10/27/2019,DCS Sur,NA,NA
10/27/2019,DCN Sur,2790,769
10/27/2019,DCN Tile,NA,NA
10/31/2019,DCS Tile,1810,NA
10/31/2019,DCS Sur,3170,NA
10/31/2019,DCN Sur,3230,NA
10/31/2019,DCN Tile,NA,NA
11/24/2019,DCS Tile,666,NA
11/24/2019,DCS Sur,NA,NA
11/24/2019,DCN Sur,NA,NA
11/24/2019,DCN Tile,468,NA
11/27/2019,DCS Tile,1190,NA
11/27/2019,DCS Sur,NA,NA
11/27/2019,DCN Sur,NA,NA
11/27/2019,DCN Tile,1120,NA
12/9/2019,DCS Tile,574,245
12/9/2019,DCS Sur,NA,NA
12/9/2019,DCN Sur,NA,NA
12/9/2019,DCN Tile,538,234
12/14/2019,DCS Tile,487,238
12/14/2019,DCS Sur,NA,NA
12/14/2019,DCN Sur,780,404
12/14/2019,DCN Tile,580,197
12/28/2019,DCS Tile,NA,NA
12/28/2019,DCS Sur,NA,NA
12/28/2019,DCN Sur,642,141
12/28/2019,DCN Tile,238,118
12/30/2019,DCS Tile,610,NA
12/30/2019,DCS Sur,NA,NA
12/30/2019,DCN Sur,596,NA
12/30/2019,DCN Tile,378,NA
1/3/2020,DCS Tile,398,NA
1/3/2020,DCS Sur,NA,NA
1/3/2020,DCN Sur,NA,NA
1/3/2020,DCN Tile,306,NA
1/11/2020,DCS Tile,744,NA
1/11/2020,DCS Sur,NA,NA
1/11/2020,DCN Sur,930,318
1/11/2020,DCN Tile,766,270
1/25/2020,DCS Tile,447,121
1/25/2020,DCS Sur,NA,NA
1/25/2020,DCN Sur,NA,NA
1/25/2020,DCN Tile,468,135
3/3/2020,DCS Tile,504,NA
3/3/2020,DCS Sur,382,NA
3/3/2020,DCN Sur,380,NA
3/3/2020,DCN Tile,413,NA
3/8/2020,DCS Tile,384,NA
3/8/2020,DCS Sur,770,NA
3/8/2020,DCN Sur,NA,NA
3/8/2020,DCN Tile,377,NA
3/13/2020,DCS Tile,714,NA
3/13/2020,DCS Sur,498,NA
3/13/2020,DCN Sur,NA,NA
3/13/2020,DCN Tile,542,NA
7/30/2021,DCS Tile,312,62.2
7/30/2021,DCS Sur,,
7/30/2021,DCN Sur,,
7/30/2021,DCN Tile,251,84.7
8/2/2021,DCS Tile,598,105
8/2/2021,DCS Sur,,
8/2/2021,DCN Sur,,
8/2/2021,DCN Tile,831,152
8/20/2021,DCS Tile,348,92.6
8/20/2021,DCS Sur,399,109
8/20/2021,DCN Sur,819,378
8/20/2021,DCN Tile,456,66
9/8/2021,DCS Tile,345,45.9
9/8/2021,DCS Sur,,
9/8/2021,DCN Sur,,
9/8/2021,DCN Tile,240,50.5
9/24/2021,DCS Tile,648,66.2
9/24/2021,DCS Sur,967,397
9/24/2021,DCN Sur,4290,2240
9/24/2021,DCN Tile,949,167
