Site,Event,TP.Load
DCNSUB,10/7/2019,39.7161
DCNSUB,10/17/2019,539.437002
DCNSUB,10/23/2019,30.04578
DCNSUB,10/27/2019,248.6740454
DCNSUB,10/31/2019,859.3744572
DCNSUB,11/24/2019,122.6979
DCNSUB,12/28/2019,34.252008
DCNSUB,2/27/2020,86.23818
DCNSUB,3/8/2020,13.794807
DCNSUB,3/26/2020,32.13666
DCNSUB,3/29/2020,62.5851
DCNSUB,4/3/2020,40.23882
DCNSUB,4/13/2020,118.64682
DCNSUB,4/27/2020,42.19902
DCNSUB,8/11/2021,1.824
DCSSUB,10/7/2019,13.5899
DCSSUB,10/23/2019,19.016335
DCSSUB,11/24/2019,51.7661
DCSSUB,12/9/2019,34.6701166
DCSSUB,12/28/2019,10.89705202
DCSSUB,3/3/2020,246.6036216
DCSSUB,3/5/2020,44.61182
DCSSUB,3/6/2020,NA
DCSSUB,3/8/2020,6.711552
DCSSUB,3/9/2020,20.831524
DCSSUB,3/26/2020,5.55284145
DCSSUB,3/29/2020,30.45843765
DCSSUB,4/3/2020,6.5006886
DCSSUB,4/13/2020,44.550695
DCSSUB,4/26/2020,19.5016695
DCSSUB,8/11/2021,2.436
