,Event,Rainfall,Site,Volume,TP.Load,TP.Conc,SRP.Load,SRP.Conc,Day.since.P,Day.since.Manure,Season
1,10/7/2019,4.0386,AHSSUB,0.6,8.7,3380,NA,NA,1,1,Non-Growing
2,10/17/2019,6.6548,DCSSUB,11.6,470.2,4040,NA,NA,5,5,Non-Growing
3,10/17/2019,6.6548,DCNSUB,NA,NA,NA,NA,NA,5,5,Non-Growing
4,10/17/2019,6.6548,AHSSUB,22.3,96.9,1115,NA,NA,11,11,Non-Growing
5,10/23/2019,1.27,DCSSUB,1.9,NA,NA,NA,NA,11,11,Non-Growing
6,10/23/2019,1.27,AHSSUB,0.6,1.6,718,NA,NA,17,17,Non-Growing
7,10/23/2019,1.27,DCNSUB,2.7,NA,NA,NA,NA,11,11,Non-Growing
8,10/27/2019,1.7018,DCNSUB,5.8,NA,NA,NA,NA,15,15,Non-Growing
9,10/27/2019,1.7018,DCSSUB,4.1,67.6,1650,16.5,403,15,15,Non-Growing
10,10/31/2019,7.493,DCNSUB,20.4,NA,NA,NA,NA,19,19,Non-Growing
11,10/31/2019,7.493,DCSSUB,11.1,201.5,1810,NA,NA,19,19,Non-Growing
12,11/19/2019,1.016,AHSSUB,5.6,10.1,422,NA,NA,44,44,Non-Growing
13,11/24/2019,1.0922,DCNSUB,NA,NA,468,NA,NA,43,43,Non-Growing
14,11/24/2019,1.0922,DCSSUB,NA,NA,666,NA,NA,43,43,Non-Growing
15,11/27/2019,1.3716,AHSSUB,9.7,60.4,1380,NA,NA,52,52,Non-Growing
16,11/28/2019,1.3716,DCNSUB,7.1,131.7,1120,NA,NA,47,47,Non-Growing
17,11/28/2019,1.3716,DCSSUB,4.5,53.3,1190,NA,NA,47,47,Non-Growing
18,12/9/2019,0.381,AHSSUB,6,10.9,474,NA,NA,64,64,Non-Growing
19,12/10/2019,0.6604,DCNSUB,4.2,38.1,538,16.6,234,59,59,Non-Growing
20,12/10/2019,0.6604,DCSSUB,2.1,12.1,574,5.2,245,59,59,Non-Growing
21,12/15/2019,0.8636,DCNSUB,2.2,21.6,580,7.3,197,64,64,Non-Growing
22,12/15/2019,0.8636,DCSSUB,1.4,7,487,3.4,238,64,64,Non-Growing
23,12/28/2019,0.12,DCNSUB,NA,NA,238,NA,118,77,77,Non-Growing
24,12/28/2019,0.12,DCSSUB,NA,NA,NA,NA,NA,77,77,Non-Growing
25,12/30/2019,0,AHSSUB,9.3,18.2,509,NA,NA,85,85,Non-Growing
26,12/30/2019,0,DCNSUB,7,44.4,378,NA,NA,79,79,Non-Growing
27,12/30/2019,0,DCSSUB,3.5,21.2,610,NA,NA,79,79,Non-Growing
28,1/3/2020,2.413,DCNSUB,2.1,10.9,306,NA,NA,83,83,Non-Growing
29,1/3/2020,2.413,DCSSUB,1.5,6.1,398,NA,NA,83,83,Non-Growing
30,1/11/2020,NA,AHSSUB,31.3,95.3,860,NA,NA,97,97,Non-Growing
31,1/12/2020,NA,DCSSUB,10.7,79.7,744,NA,NA,92,92,Non-Growing
32,1/12/2020,NA,DCNSUB,14.9,189.9,766,66.9,270,92,92,Non-Growing
33,1/25/2020,NA,AHSSUB,9.5,13.1,314,NA,NA,111,111,Non-Growing
34,1/26/2020,0.6858,DCNSUB,3.6,27.9,468,8,135,106,106,Non-Growing
35,1/26/2020,0.6858,DCSSUB,2.3,10.5,447,2.8,121,106,106,Non-Growing
36,2/24/2020,NA,AHSSUB,1.2,1.3,179,NA,NA,141,141,Non-Growing
37,2/26/2020,NA,AHSSUB,2.7,4.5,239,NA,NA,143,143,Non-Growing
38,3/3/2020,NA,DCSSUB,16.7,84.2,504,NA,NA,143,143,Non-Growing
39,3/3/2020,NA,AHSSUB,46.5,168.2,502,NA,NA,149,149,Non-Growing
40,3/3/2020,NA,DCNSUB,26,178.7,413,NA,NA,143,143,Non-Growing
41,3/6/2020,NA,AHSSUB,7.3,10.6,468,NA,NA,152,152,Non-Growing
42,3/8/2020,NA,DCSSUB,3.5,13.6,384,NA,NA,148,148,Non-Growing
43,3/8/2020,NA,DCNSUB,7.4,46.3,377,NA,NA,148,148,Non-Growing
44,3/8/2020,NA,AHSSUB,1.8,5.8,628,NA,NA,154,154,Non-Growing
45,3/11/2020,NA,AHSSUB,6.1,11.6,472,NA,NA,157,157,Non-Growing
46,3/13/2020,1.0414,DCSSUB,2,14.4,714,NA,NA,153,153,Non-Growing
47,3/13/2020,1.0414,DCNSUB,2.9,26.2,542,NA,NA,153,153,Non-Growing
48,3/26/2020,0.889,AHSSUB,2,2.8,465,1,137,172,172,Non-Growing
49,3/29/2020,1.8288,AHSSUB,10.5,23.3,510,7.6,148,175,175,Non-Growing
50,4/3/2020,0.8636,AHSSUB,4.4,7.4,640,NA,NA,180,180,Non-Growing
51,4/13/2020,1.778,AHSSUB,12.1,44.8,780,12.9,216,190,190,Non-Growing
52,4/27/2020,2.4638,AHSSUB,3.1,8.2,760,2.4,217,204,204,Non-Growing
53,5/12/2020,1.6764,DCSSUB,1.2,9.9,1630,6.7,1286,15,213,Growing
54,5/12/2020,1.6764,DCNSUB,3.5,28.3,1680,18.4,1020,15,213,Growing
55,8/5/2020,6.5024,DCSSUB,1.6,3.4,502,0.7,81.5,100,298,Growing
56,8/5/2020,6.5024,DCNSUB,3.6,7.6,446,2.4,156,100,298,Growing
57,9/30/2020,5.6642,DCSSUB,0.3,4.2,2420,1.4,830,2,2,Growing
58,9/30/2020,5.6642,DCNSUB,1.1,17.9,6980,5.3,1554,2,2,Growing
59,12/1/2020,2.9718,DCNSUB,12.7,50.6,1100,17.1,591,64,64,Non-Growing
60,12/1/2020,2.9718,AHSSUB,9.7,61.4,1210,36.1,646,56,56,Non-Growing
61,12/25/2020,2.8194,DCNSUB,30,140.1,5670,64.9,4950,88,88,Non-Growing
62,12/25/2020,2.8194,AHSSUB,23.9,102.1,669,71.4,511,80,80,Non-Growing
63,1/17/2021,2.0574,DCNSUB,4.4,6.4,478,1.5,213,111,111,Non-Growing
64,1/17/2021,2.0574,AHSSUB,1.7,1.4,157,0.8,107,103,103,Non-Growing
65,3/11/2021,NA,DCSSUB,40,124.6,637,43,268,164,164,Non-Growing
66,3/11/2021,NA,DCNSUB,55,136.5,721,51,282,164,164,Non-Growing
67,4/16/2021,3.4544,DCSSUB,13.8,60.1,814,10.4,120,1,200,Non-Growing
68,4/16/2021,3.4544,DCNSUB,20.5,82,759,16.5,192,1,200,Non-Growing
69,4/22/2021,1.4351,DCSSUB,6.2,20.1,706,4.4,206,7,206,Non-Growing
70,4/22/2021,1.4351,DCNSUB,10.1,26.6,553,5.7,150,7,206,Non-Growing
71,4/30/2021,3.3782,DCSSUB,20.6,101,1120,19,189,15,214,Non-Growing
72,4/30/2021,3.3782,DCNSUB,29.7,134.8,1050,28.9,212,15,214,Non-Growing
73,5/6/2021,2.4892,DCSSUB,13.4,84.9,1260,21.3,257,21,220,Growing
74,5/6/2021,2.4892,DCNSUB,20.8,124.7,1150,33.1,323,21,220,Growing
75,7/2/2021,4.3942,DCSSUB,15.8,29.5,320,10.7,101,39,277,Growing
76,7/2/2021,4.3942,DCNSUB,18,33.2,354,13.5,115,39,277,Growing
77,7/3/2021,2.5654,DCSSUB,8.8,13.8,357,7.1,160,40,278,Growing
78,7/3/2021,2.5654,DCNSUB,8.4,13.1,348,5.2,146,40,278,Growing
79,7/9/2021,2.8194,DCSSUB,8.6,18.6,465,8.1,169,46,284,Growing
80,7/9/2021,2.8194,DCNSUB,8.9,24.5,492,9.5,197,46,284,Growing
81,7/13/2021,1.88,DCSSUB,2.1,5.3,485,1.7,136,50,288,Growing
82,7/13/2021,1.88,DCNSUB,2.5,6.6,502,2.8,196,50,288,Growing
83,7/14/2021,0.74,DCSSUB,1.1,2,457,0.7,126,51,289,Growing
84,7/14/2021,0.74,DCNSUB,1.6,1.4,105,0.6,50,51,289,Growing
85,7/18/2021,4.7,DCSSUB,18.6,66.9,612,20.8,173,55,293,Growing
86,7/18/2021,4.7,DCNSUB,21.7,111.1,902,38.6,319,55,293,Growing
87,7/19/2021,2.77,DCSSUB,5.3,25,2915,NA,NA,56,294,Growing
88,7/19/2021,2.77,DCNSUB,6,20.7,776,NA,NA,56,294,Growing
89,7/21/2021,2.01,DCSSUB,8.2,41.9,1974,13.3,1000,58,296,Growing
90,7/21/2021,2.01,DCNSUB,11.1,48.9,930,15.5,327,58,296,Growing
91,7/31/2021,1.1176,DCSSUB,1,3.1,312,0.6,62.2,68,306,Growing
92,7/31/2021,1.1176,DCNSUB,1.4,3.5,251,1.2,84.7,68,306,Growing
93,8/2/2021,3.2766,DCSSUB,11.2,67.2,598,11.8,105,70,308,Growing
94,8/2/2021,3.2766,DCNSUB,15.2,127.3,831,23.3,152,70,308,Growing
95,8/20/2021,NA,DCSSUB,14.1,49.1,348,13.1,92.6,88,326,Growing
96,8/20/2021,NA,DCNSUB,17.3,79.9,456,11.6,66,88,326,Growing
97,9/9/2021,3.2512,DCSSUB,2.5,8.6,345,1.1,45.9,108,346,Growing
98,9/9/2021,3.2512,DCNSUB,2.4,5.8,240,1.2,50.5,108,346,Growing
99,9/24/2021,3.2766,DCSSUB,1.3,8.7,648,0.9,66.2,123,361,Growing
100,9/24/2021,3.2766,DCNSUB,1.6,15.4,949,2.7,167,123,361,Growing
101,10/17/2021,2.4638,DCSSUB,4.5,NA,NA,12,264,15,15,Non-Growing
102,10/17/2021,2.4638,DCNSUB,5,NA,NA,20.6,412,15,15,Non-Growing
