day,rain,even.total
10/1/2018,0.0254,
10/2/2018,1.8288,
10/3/2018,0.0762,
10/7/2018,0.127,
10/11/2018,1.016,
10/13/2018,0.1778,
10/15/2018,0.0508,
10/17/2018,0.0254,
10/23/2018,0.2794,
10/24/2018,0.1016,
10/27/2018,1.4986,
10/28/2018,0.254,
10/29/2018,0.4826,
10/31/2018,0.0254,
11/1/2018,1.1684,
11/2/2018,1.2954,5.4356
11/3/2018,2.9718,
11/5/2018,0.0254,
11/6/2018,0.9906,1.0414
11/7/2018,0.0254,
11/9/2018,1.7526,3.0226
11/10/2018,1.27,
11/13/2018,1.3462,1.3462
11/16/2018,0.0254,
11/17/2018,1.2192,
11/25/2018,0.4318,3.5306
11/26/2018,0.4826,
11/27/2018,2.286,
11/28/2018,0.3302,
12/2/2018,2.0066,2.0574
12/3/2018,0.0508,
6/2/2019,0.9652,
6/4/2019,0.0508,
6/5/2019,3.429,4.1148
6/6/2019,0.6858,
6/10/2019,0.2794,
6/11/2019,2.2606,2.54
6/14/2019,0.0254,
6/19/2019,0.762,
6/20/2019,5.5118,
6/22/2019,0.254,
6/25/2019,1.27,
6/26/2019,0.4572,
10/4/2019,0.2794,
10/7/2019,4.0386,4.0386
10/16/2019,0.5842,
10/17/2019,5.6896,6.6548
10/18/2019,0.381,
10/22/2019,0.508,
10/23/2019,0.762,1.27
10/25/2019,0.0254,
10/26/2019,0.0254,
10/27/2019,1.651,1.651
10/31/2019,5.9182,7.493
11/1/2019,1.5748,
11/7/2019,0.2032,
11/8/2019,0.127,
11/11/2019,0.0254,
11/15/2019,0.635,
11/19/2019,0.762,1.016
11/20/2019,0.2032,
11/21/2019,0.0508,
11/24/2019,0.0762,
11/27/2019,0.6858,1.3716
11/28/2019,0.6858,
12/2/2019,0.1016,
12/3/2019,0.0508,
12/4/2019,0.0254,
12/5/2019,0.2286,
12/7/2019,0.1778,
12/9/2019,0.2032,0.381
12/11/2019,0.2794,
12/13/2019,0.1778,
12/14/2019,0.635,0.8636
12/15/2019,0.0508,
12/18/2019,0.0254,
12/23/2019,0.2032,
3/19/2020,0.0254,
3/20/2020,0.0508,
3/24/2020,0.889,
3/29/2020,1.1176,1.8288
3/30/2020,0.6096,
3/31/2020,0.1016,
4/2/2020,0.3048,
4/3/2020,0.5588,0.8636
4/9/2020,0.762,
4/10/2020,0.381,
4/13/2020,1.778,1.778
4/21/2020,0.0254,
4/26/2020,1.8034,
