DateTime,EC (mS),TP,SRP,AHS Sample Number
11/30/20 16:33,1.745,804,456,AHS-1-7
11/30/20 16:53,1.675,1010,575,AHS-1-8
11/30/20 17:13,1.67,946,549,AHS-1-9
11/30/20 17:33,1.631,943,566,AHS-1-10
11/30/20 17:53,1.617,986,621,AHS-1-11
11/30/20 18:13,1.544,1120,646,AHS-1-12
11/30/20 18:33,1.477,1120,626,AHS-1-13
11/30/20 18:53,1.455,1050,636,AHS-1-14
11/30/20 19:13,1.433,904,577,AHS-1-15
11/30/20 20:10,1.431,755,490,AHS-1-16
11/30/20 21:31,1.433,740,482,AHS-1-17
11/30/20 22:37,1.426,708,212,AHS-1-18
11/30/20 23:02,1.222,1140,560,AHS-1-19
11/30/20 23:12,1.158,1210,586,AHS-1-20
11/30/20 23:23,1.156,1050,575,AHS-1-21
11/30/20 23:33,1.15,1030,512,AHS-1-22
11/30/20 23:44,1.136,1000,557,AHS-1-23
11/30/20 23:54,1.125,1010,582,AHS-1-24
