DateTimeq,Flow
2/25/20 12:55,1.5
2/25/20 13:00,1.5
2/25/20 13:05,1.42
2/25/20 13:10,1.5
2/25/20 13:15,1.42
2/25/20 13:20,1.49
2/25/20 13:25,1.57
2/25/20 13:30,1.57
2/25/20 13:35,1.49
2/25/20 13:40,1.64
2/25/20 13:45,1.72
2/25/20 13:50,1.64
2/25/20 13:55,1.8
2/25/20 14:00,1.8
2/25/20 14:05,1.72
2/25/20 14:10,1.96
2/25/20 14:15,1.88
2/25/20 14:20,1.88
2/25/20 14:25,2.04
2/25/20 14:30,2.04
2/25/20 14:35,2.12
2/25/20 14:40,2.2
2/25/20 14:45,2.37
2/25/20 14:50,2.37
2/25/20 14:55,2.54
2/25/20 15:00,2.72
2/25/20 15:05,2.63
2/25/20 15:10,2.9
2/25/20 15:15,2.99
2/25/20 15:20,2.99
2/25/20 15:25,3.27
2/25/20 15:30,3.27
2/25/20 15:35,3.36
2/25/20 15:40,3.56
2/25/20 15:45,3.75
2/25/20 15:50,3.65
2/25/20 15:55,3.96
2/25/20 16:00,4.06
2/25/20 16:05,4.06
2/25/20 16:10,4.37
2/25/20 16:15,4.37
2/25/20 16:20,4.37
2/25/20 16:25,4.69
2/25/20 16:30,4.69
2/25/20 16:35,4.8
2/25/20 16:40,5.02
2/25/20 16:45,4.91
2/25/20 16:50,5.13
2/25/20 16:55,5.36
2/25/20 17:00,5.25
2/25/20 17:05,5.25
2/25/20 17:10,5.36
2/25/20 17:15,5.36
2/25/20 17:20,5.47
2/25/20 17:25,5.59
2/25/20 17:30,5.59
2/25/20 17:35,5.36
2/25/20 17:40,5.59
2/25/20 17:45,5.71
2/25/20 17:50,5.47
2/25/20 17:55,5.59
2/25/20 18:00,5.59
2/25/20 18:05,5.59
2/25/20 18:10,5.7
2/25/20 18:15,5.82
2/25/20 18:20,5.59
2/25/20 18:25,5.7
2/25/20 18:30,5.82
2/25/20 18:35,5.59
2/25/20 18:40,5.59
2/25/20 18:45,5.7
2/25/20 18:50,5.59
2/25/20 18:55,5.7
2/25/20 19:00,5.82
2/25/20 19:05,5.47
2/25/20 19:10,5.7
2/25/20 19:15,5.59
2/25/20 19:20,5.35
2/25/20 19:25,5.35
2/25/20 19:30,5.47
2/25/20 19:35,5.24
2/25/20 19:40,5.35
2/25/20 19:45,5.58
2/25/20 19:50,5.24
2/25/20 19:55,5.35
2/25/20 20:00,5.35
2/25/20 20:05,5.24
2/25/20 20:10,5.24
2/25/20 20:15,5.35
2/25/20 20:20,5.01
2/25/20 20:25,5.24
2/25/20 20:30,5.35
2/25/20 20:35,5.01
2/25/20 20:40,5.12
2/25/20 20:45,5.12
2/25/20 20:50,4.9
2/25/20 20:55,4.9
2/25/20 21:00,4.79
2/25/20 21:05,4.9
2/25/20 21:10,4.9
2/25/20 21:15,4.79
2/25/20 21:20,4.9
2/25/20 21:25,4.9
2/25/20 21:30,4.9
2/25/20 21:35,4.79
2/25/20 21:40,4.79
2/25/20 21:45,4.79
2/25/20 21:50,4.68
2/25/20 21:55,4.79
2/25/20 22:00,4.79
2/25/20 22:05,4.57
2/25/20 22:10,4.57
2/25/20 22:15,4.68
2/25/20 22:20,4.46
2/25/20 22:25,4.57
2/25/20 22:30,4.57
2/25/20 22:35,4.46
2/25/20 22:40,4.57
2/25/20 22:45,4.57
2/25/20 22:50,4.36
2/25/20 22:55,4.46
2/25/20 23:00,4.46
2/25/20 23:05,4.36
2/25/20 23:10,4.46
2/25/20 23:15,4.36
2/25/20 23:20,4.25
2/25/20 23:25,4.36
2/25/20 23:30,4.36
2/25/20 23:35,4.36
2/25/20 23:40,4.36
2/25/20 23:45,4.36
2/25/20 23:50,4.25
2/25/20 23:55,4.36
2/26/20 0:00,4.36
2/26/20 0:05,4.15
2/26/20 0:10,4.25
2/26/20 0:15,4.15
2/26/20 0:20,4.15
2/26/20 0:25,4.15
2/26/20 0:30,4.15
2/26/20 0:35,4.04
2/26/20 0:40,4.14
2/26/20 0:45,4.14
2/26/20 0:50,4.14
2/26/20 0:55,4.14
2/26/20 1:00,4.25
2/26/20 1:05,4.04
2/26/20 1:10,4.14
2/26/20 1:15,4.14
2/26/20 1:20,4.04
2/26/20 1:25,4.04
2/26/20 1:30,4.04
2/26/20 1:35,3.94
2/26/20 1:40,4.04
2/26/20 1:45,4.04
2/26/20 1:50,3.94
2/26/20 1:55,3.94
2/26/20 2:00,3.84
2/26/20 2:05,3.74
2/26/20 2:10,3.94
2/26/20 2:15,3.94
2/26/20 2:20,3.74
2/26/20 2:25,3.94
2/26/20 2:30,3.84
2/26/20 2:35,3.73
2/26/20 2:40,3.83
2/26/20 2:45,3.83
2/26/20 2:50,3.73
2/26/20 2:55,3.73
2/26/20 3:00,3.83
2/26/20 3:05,3.63
2/26/20 3:10,3.73
2/26/20 3:15,3.73
2/26/20 3:20,3.63
2/26/20 3:25,3.73
2/26/20 3:30,3.83
2/26/20 3:35,3.63
2/26/20 3:40,3.73
2/26/20 3:45,3.73
2/26/20 3:50,3.63
2/26/20 3:55,3.63
2/26/20 4:00,3.63
2/26/20 4:05,3.63
2/26/20 4:10,3.63
2/26/20 4:15,3.63
2/26/20 4:20,3.63
2/26/20 4:25,3.63
2/26/20 4:30,3.63
2/26/20 4:35,3.53
2/26/20 4:40,3.53
2/26/20 4:45,3.53
2/26/20 4:50,3.53
2/26/20 4:55,3.53
2/26/20 5:00,3.63
2/26/20 5:05,3.44
2/26/20 5:10,3.44
2/26/20 5:15,3.44
2/26/20 5:20,3.34
2/26/20 5:25,3.53
2/26/20 5:30,3.44
2/26/20 5:35,3.34
2/26/20 5:40,3.34
2/26/20 5:45,3.43
2/26/20 5:50,3.34
2/26/20 5:55,3.34
2/26/20 6:00,3.34
2/26/20 6:05,3.24
2/26/20 6:10,3.34
2/26/20 6:15,3.34
2/26/20 6:20,3.15
2/26/20 6:25,3.34
2/26/20 6:30,3.34
2/26/20 6:35,3.24
2/26/20 6:40,3.24
2/26/20 6:45,3.24
2/26/20 6:50,3.24
2/26/20 6:55,3.24
2/26/20 7:00,3.24
2/26/20 7:05,3.24
2/26/20 7:10,3.24
2/26/20 7:15,3.24
2/26/20 7:20,3.24
2/26/20 7:25,3.15
2/26/20 7:30,3.15
2/26/20 7:35,3.15
2/26/20 7:40,3.24
2/26/20 7:45,3.24
2/26/20 7:50,3.15
2/26/20 7:55,3.15
2/26/20 8:00,3.24
2/26/20 8:05,3.05
2/26/20 8:10,3.05
2/26/20 8:15,2.96
2/26/20 8:20,3.05
2/26/20 8:25,2.96
2/26/20 8:30,3.05
2/26/20 8:35,3.05
2/26/20 8:40,3.05
2/26/20 8:45,3.05
2/26/20 8:50,3.05
2/26/20 8:55,3.14
2/26/20 9:00,3.05
2/26/20 9:05,2.96
2/26/20 9:10,2.96
2/26/20 9:15,2.96
2/26/20 9:20,2.96
2/26/20 9:25,2.87
2/26/20 9:30,2.96
2/26/20 9:35,2.87
2/26/20 9:40,2.96
2/26/20 9:45,2.87
2/26/20 9:50,2.69
2/26/20 9:55,2.87
2/26/20 10:00,2.78
2/26/20 10:05,2.87
2/26/20 10:10,2.87
2/26/20 10:15,2.87
2/26/20 10:20,2.87
