DateTime,Flow
10/27/19 8:45,0.015
10/27/19 8:50,0.021
10/27/19 8:55,0.036
10/27/19 9:00,0.026
10/27/19 9:05,0.005
10/27/19 9:10,0.031
10/27/19 9:15,0.047
10/27/19 9:20,0.047
10/27/19 9:25,0.047
10/27/19 9:30,0.042
10/27/19 9:35,0.108
10/27/19 9:40,0.208
10/27/19 9:45,0.419
10/27/19 9:50,0.716
10/27/19 9:55,1.163
10/27/19 10:00,1.993
10/27/19 10:05,3.245
10/27/19 10:10,4.835
10/27/19 10:15,6.896
10/27/19 10:20,8.757
10/27/19 10:25,9.997
10/27/19 10:30,10.463
10/27/19 10:35,11.119
10/27/19 10:40,11.709
10/27/19 10:45,11.861
10/27/19 10:50,12.079
10/27/19 10:55,12.298
10/27/19 11:00,12.5
10/27/19 11:05,12.641
10/27/19 11:10,12.827
10/27/19 11:15,13.124
10/27/19 11:20,13.364
10/27/19 11:25,13.539
10/27/19 11:30,13.727
10/27/19 11:35,13.853
10/27/19 11:40,14.008
10/27/19 11:45,14.102
10/27/19 11:50,14.165
10/27/19 11:55,14.279
10/27/19 12:00,14.227
10/27/19 12:05,14.181
10/27/19 12:10,14.165
10/27/19 12:15,14.051
10/27/19 12:20,13.916
10/27/19 12:25,13.874
10/27/19 12:30,13.749
10/27/19 12:35,13.651
10/27/19 12:40,13.665
10/27/19 12:45,13.65
10/27/19 12:50,13.655
10/27/19 12:55,13.707
10/27/19 13:00,13.728
10/27/19 13:05,13.769
10/27/19 13:10,13.837
10/27/19 13:15,13.817
10/27/19 13:20,13.873
10/27/19 13:25,13.822
10/27/19 13:30,13.656
10/27/19 13:35,13.536
10/27/19 13:40,13.525
10/27/19 13:45,13.365
10/27/19 13:50,13.198
10/27/19 13:55,13.14
10/27/19 14:00,12.882
10/27/19 14:05,12.616
10/27/19 14:10,12.408
10/27/19 14:15,12.205
10/27/19 14:20,12.018
10/27/19 14:25,11.764
10/27/19 14:30,11.555
10/27/19 14:35,11.156
10/27/19 14:40,10.833
10/27/19 14:45,10.469
10/27/19 14:50,9.77
10/27/19 14:55,9.307
10/27/19 15:00,8.621
10/27/19 15:05,8.82
10/27/19 15:10,8.474
10/27/19 15:15,8.005
10/27/19 15:20,7.21
10/27/19 15:25,8.455
10/27/19 15:30,7.476
10/27/19 15:35,7.864
10/27/19 15:40,7.794
10/27/19 15:45,7.114
10/27/19 15:50,6.987
10/27/19 15:55,6.68
10/27/19 16:00,5.988
10/27/19 16:05,6.545
10/27/19 16:10,6.136
10/27/19 16:15,6.021
10/27/19 16:20,5.587
10/27/19 16:25,5.712
10/27/19 16:30,5.972
10/27/19 16:35,5.481
10/27/19 16:40,5.47
10/27/19 16:45,5.44
10/27/19 16:50,5.122
10/27/19 16:55,4.946
10/27/19 17:00,4.966
10/27/19 17:05,4.894
10/27/19 17:10,4.847
10/27/19 17:15,4.619
10/27/19 17:20,4.534
10/27/19 17:25,4.427
10/27/19 17:30,4.259
10/27/19 17:35,4.202
10/27/19 17:40,4.212
10/27/19 17:45,4.202
10/27/19 17:50,4.103
10/27/19 17:55,3.958
10/27/19 18:00,3.812
10/27/19 18:05,3.812
10/27/19 18:10,3.016
10/27/19 18:15,3.682
10/27/19 18:20,3.619
10/27/19 18:25,3.51
10/27/19 18:30,3.479
10/27/19 18:35,3.396
10/27/19 18:40,3.37
10/27/19 18:45,1.951
10/27/19 18:50,3.229
10/27/19 18:55,3.193
10/27/19 19:00,3.11
10/27/19 19:05,3.089
10/27/19 19:10,2.434
10/27/19 19:15,2.98
10/27/19 19:20,2.881
10/27/19 19:25,2.86
10/27/19 19:30,2.855
10/27/19 19:35,2.74
10/27/19 19:40,2.782
10/27/19 19:45,2.153
10/27/19 19:50,2.725
10/27/19 19:55,1.601
10/27/19 20:00,2.03
10/27/19 20:05,2.512
10/27/19 20:10,2.48
10/27/19 20:15,2.527
10/27/19 20:20,2.455
10/27/19 20:25,2.403
10/27/19 20:30,2.355
10/27/19 20:35,2.324
10/27/19 20:40,2.309
10/27/19 20:45,2.231
10/27/19 20:50,2.226
10/27/19 20:55,2.184
10/27/19 21:00,2.195
10/27/19 21:05,2.19
10/27/19 21:10,2.08
10/27/19 21:15,2.137
10/27/19 21:20,2.054
10/27/19 21:25,2.07
10/27/19 21:30,2.018
10/27/19 21:35,2.033
10/27/19 21:40,1.976
10/27/19 21:45,1.966
10/27/19 21:50,1.94
10/27/19 21:55,1.898
10/27/19 22:00,1.83
10/27/19 22:05,1.83
10/27/19 22:10,1.857
10/27/19 22:15,1.846
10/27/19 22:20,1.805
10/27/19 22:25,1.778
10/27/19 22:30,1.748
10/27/19 22:35,1.711
10/27/19 22:40,1.737
10/27/19 22:45,1.685
10/27/19 22:50,1.705
10/27/19 22:55,1.665
10/27/19 23:00,1.622
10/27/19 23:05,1.622
10/27/19 23:10,1.601
10/27/19 23:15,1.596
10/27/19 23:20,1.524
10/27/19 23:25,1.55
10/27/19 23:30,1.55
10/27/19 23:35,1.513
10/27/19 23:40,1.498
10/27/19 23:45,1.524
10/27/19 23:50,1.42
10/27/19 23:55,1.455
10/28/19 0:00,1.435
10/28/19 0:05,1.409
10/28/19 0:10,1.425
10/28/19 0:15,1.373
10/28/19 0:20,1.43
10/28/19 0:25,1.108
10/28/19 0:30,0.822
10/28/19 0:35,1.353
10/28/19 0:40,1.31
10/28/19 0:45,1.357
10/28/19 0:50,1.253
10/28/19 0:55,1.264
10/28/19 1:00,1.264
10/28/19 1:05,1.253
10/28/19 1:10,1.243
10/28/19 1:15,1.207
10/28/19 1:20,1.211
10/28/19 1:25,1.248
10/28/19 1:30,1.248
10/28/19 1:35,1.18
10/28/19 1:40,1.201
