Site,Sample,EC,TP,SRP,DateTime,Flowrate
DCS,TG-18a,2.07,22.6,25.1,1/9/21 16:00,trickle
DCN,TG-18b,2.34,50.7,41.2,1/9/21 16:29,trickle-0
AHS,TG-18c,1.588,37,24.7,1/9/21 17:00,trickle-0.15?
DCS,TG-19a,2.59,20.8,26.4,1/15/21 11:00,trickle
DCN,TG-19b,2.52,44.2,42.5,1/15/21 10:43,trickle
AHS,TG-19c,1.67,47.7,32.5,1/15/21 11:30,trickle
DCS,TG-20,1.54,59.4,22.8,1/18/21 13:30,trickle-.3 lps?
DCN,NB-8-G,0.819,62.6,5.79,1/18/21 13:00,.3-.4 lps
AHS,AHS-4-G,1.43,43.5,18.2,1/18/21 14:00,.1-.4 lps
DCN,TG-21a,,59.6,,1/18/21 15:30,
AHS,TG-21b,,42.5,,2/16/21 17:00,
DCS,TG-22a,3.16,18.6,21.8,2/24/21 14:00,trickle
DCN,TG-22b,2.76,21.9,39.9,2/24/21 14:22,trickle
AHS,TG-22c,1.645,22.7,18.3,2/24/21 15:00,trickle
DCS,TG-23a,1.468,85.1,34.9,3/2/21 14:30,"unknown, probably 0.6"
DCN,TG-23b,1.095,80.9,16.9,3/2/21 15:06,0.6
AHS,TG-23c,1.303,66.1,21.7,3/2/21 16:00,1.5
DCN,TG-24b,0.945,103,21.1,3/2/21 15:05,0.6
DCN,TG-24c,1.127,160,13.7,3/4/21 15:05,0.3
DCN,TG-24d,2,89,53.2,3/6/21 15:05,0.1
DCN,TG-24e,2.23,27.5,42.6,3/9/21 12:33,<.1
AHS,TG-24f,2.52,31.1,8.53,3/4/21 15:57,.2X
AHS,TG-24g,1.53,26.3,14.6,3/6/21 15:57,.2X
AHS,TG-24h,1.32,31.3,11.1,3/8/21 15:57,.2X
AHS,TG-24i,1.42,108,10.3,3/9/21 12:45,.2X
DCS,TG-24a,2.31,25.5,14.3,3/9/21 11:05,.1X
DCS,BA-53a,1.225,148,24,3/9/21 23:33,0.66
DCS,BA-53b,1.749,121,32.7,3/10/21 11:33,0.19
DCN,BA-54a,1.107,151,22.7,3/9/21 23:40,0.2
DCN,BA-54b,1.931,46,22.9,3/10/21 11:40,0.16
AHS,BA-55a,1.124,103,61.1,3/9/21 23:54,0.26
AHS,BA-55b,1.348,50.6,22.9,3/10/21 11:54,0.23
AHS,TG-25,1.212,65,32.1,3/13/21 17:30,7.5 cm (bubbler not working so recorded flume depth)
DCS,BA-56a,1.268,65.1,22,3/14/21 4:55,0.89
DCN,BA-56b,0.707,100,34.6,3/14/21 4:49,1.15
DCS,TG-26a,1.904,68,22.5,3/17/21 16:34,0-.3
DCN,TG-26b,0.968,120,23.2,3/17/21 5:15,.3-.5
AHS,TG-26c,1.355,29.8,18.1,3/17/21 6:15,0.65
DCS,BA-57,2.09,104,,3/18/21 9:44,0.2
DCS,BA-58,2.08,175,,3/19/21 9:43,0.2
DCS,BA-59,2.08,80.7,,3/21/21 9:43,0.2
DCS,BA-60,2.17,75,,3/22/21 9:43,0.2
DCS,BA-61,2.23,68.7,,3/23/21 9:44,0.2
DCS,BA-62,2.29,26.7,,3/24/21 9:43,0.2
DCN,BA-63,0.957,190,,3/18/21 10:09,0.3
DCN,BA-64,1.646,187,,3/19/21 10:09,0.3
DCN,BA-65,2.15,116,,3/20/21 10:09,0.3
DCN,BA-66,2.27,93.8,,3/21/21 10:09,0.3
DCN,BA-67,2.24,62.3,,3/22/21 10:09,0.3
DCN,BA-68,2.4,57.1,,3/23/21 10:09,0.3
DCN,BA-69,2.4,16.9,,3/24/21 10:09,0.3
DCN,BA-70,2.45,21.9,,3/24/21 13:45,0.3
AHS,BA-71,1.578,22.9,,3/24/21 15:32,0.3
DCS,BA-72.1,2.29,59.6,,3/24/21 17:38,0.1
DCS,BA-72.2,2.38,114,,3/25/21 17:38,0.1
