Event,Site,AFR,QF,QF ADJ R2,SF,SF ADJ R2
2021-04-15,DCSSUB,0.042,-0.3565261678,0.9948836173,-0.04386694107,0.7448744633
2021-04-15,DCNSUB,0.045,-0.2425059474,0.992762454,-0.03960347836,0.9489387148
2021-04-21,DCSSUB,0.202,-0.1517403035,0.9886830429,-0.03610838457,0.7197378531
2021-04-21,DCNSUB,0.337,-0.1037283739,0.994672193,-0.02410691535,0.8533498538
2021-04-29,DCSSUB,0.339,-0.6397575817,0.9482040698,-0.06076830584,0.979310072
2021-04-28,DCNSUB,0.254,-0.2646753063,0.9850429651,-0.05224759958,0.9904891265
2021-05-05,DCSSUB,0.209,-0.2805568732,0.9984041034,-0.08864351011,0.8867823672
2021-05-05,DCNSUB,0.514,-0.2012022645,0.9942193157,-0.05344529294,0.9787552159
2021-07-02,DCSSUB,0.15,-0.2451354114,0.9949756029,-0.04321201546,0.8557257559
2021-07-02,DCNSUB,0.083,-0.3561054234,0.9971255851,-0.1427600872,0.9718270154
2021-07-03,DCSSUB,2.029,-0.2536174312,0.9986607287,-0.06916408292,0.9018644175
2021-07-03,DCNSUB,1.621,-0.2432475804,0.9991882017,-0.1116480408,0.9884852134
2021-07-09,DCSSUB,0.021,-0.815895159,0.9441497032,-0.146253723,0.9724152245
2021-07-09,DCNSUB,0.171,-0.5621088998,0.9984534398,-0.1636736099,0.9760580608
2021-07-13,DCSSUB,0.072,-0.5837419727,0.9964153887,-0.1575635944,0.9635526992
2021-07-13,DCNSUB,0.121,-0.4798653453,0.994121192,-0.09820818849,0.8709112682
2021-07-14,DCSSUB,0.401,-0.5934767468,0.9925635047,-0.1011833535,0.7896244704
2021-07-14,DCNSUB,0.414,-0.4005907282,0.9890363038,-0.04783498934,0.5035526033
2021-07-17,DCSSUB,0.11,-0.1171103332,0.9967543213,-0.0946059497,0.9814757797
2021-07-18,DCNSUB,0.464,-0.4248790049,0.999067047,-0.09340608278,0.9913289409
2021-07-19,DCSSUB,2.206,-0.3232891228,0.9986556205,-0.1017255993,0.9444303514
2021-07-19,DCNSUB,1.562,-0.2824133645,0.9988103601,-0.08146021859,0.9330051985
2021-07-20,DCSSUB,0.587,-0.8143883097,0.9685868548,-0.1023415414,0.9307363642
2021-07-20,DCNSUB,0.579,-0.3761419571,0.9969038588,-0.07282497689,0.9386274979
