DateTime,EC (mS),TP,AHS Sample Number
1/11/20 11:00,0.758,428,454
1/11/20 14:00,0.564,668,455
1/11/20 17:00,0.581,644,456
1/11/20 20:00,0.607,618,457
1/11/20 23:00,0.606,712,458
1/12/20 2:00,0.573,804,459
1/12/20 5:00,0.518,860,460
1/12/20 8:00,0.561,782,461
1/12/20 11:00,0.641,662,462
1/12/20 14:01,0.747,431,463
1/12/20 19:23,0.745,182,465
1/12/20 22:22,0.763,91,466
1/13/20 1:22,0.851,63,467
1/13/20 4:22,0.863,49,468
1/13/20 7:22,0.877,31,469
1/13/20 13:22,0.893,45,471
1/13/20 16:23,0.914,38,472
1/13/20 19:22,0.908,30,473
