DateTime,EC (mS),TP,SRP,Sample Number
7/18/2021 0:53,1.168,303,84.1,SB-22-1
7/18/2021 2:13,0.78,609,139,SB-22-2
7/18/2021 3:03,0.706,527,146,SB-22-3
7/18/2021 3:33,0.667,554,161,SB-22-4
7/18/2021 3:58,0.611,,,SB-22-5
7/18/2021 4:22,0.662,602,153,SB-22-6
7/18/2021 4:45,0.713,,,SB-22-7
7/18/2021 5:09,0.749,,,SB-22-8
7/18/2021 5:35,0.775,,,SB-22-9
7/18/2021 6:02,0.818,539,173,SB-22-10
7/18/2021 6:30,0.817,,,SB-22-11
7/18/2021 7:00,0.805,,,SB-22-12
7/18/2021 7:32,0.792,,,SB-22-13
7/18/2021 8:06,0.775,514,161,SB-22-14
7/18/2021 8:34,0.596,612,167,SB-22-15
7/18/2021 8:57,0.594,610,167,SB-22-16
7/18/2021 9:19,0.645,,,SB-22-17
7/18/2021 9:40,0.652,565,168,SB-22-18
7/18/2021 17:54,0.946,330,97.3,SB-22-19
