DateTime,Flow
8/1/2021 16:05,0.208
8/1/2021 16:10,0.254
8/1/2021 16:15,0.385
8/1/2021 16:20,0.612
8/1/2021 16:25,1.04
8/1/2021 16:30,2.83
8/1/2021 16:35,9.24
8/1/2021 16:40,18.4
8/1/2021 16:45,23.73
8/1/2021 16:50,25.83
8/1/2021 16:55,27.44
8/1/2021 17:00,28.16
8/1/2021 17:05,28.79
8/1/2021 17:10,28.99
8/1/2021 17:15,29.06
8/1/2021 17:20,29.12
8/1/2021 17:25,28.96
8/1/2021 17:30,28.72
8/1/2021 17:35,28.85
8/1/2021 17:40,29.26
8/1/2021 17:45,30.04
8/1/2021 17:50,30.84
8/1/2021 17:55,31.41
8/1/2021 18:00,31.96
8/1/2021 18:05,32.3
8/1/2021 18:10,32.45
8/1/2021 18:15,32.71
8/1/2021 18:20,32.77
8/1/2021 18:25,32.78
8/1/2021 18:30,32.63
8/1/2021 18:35,32.69
8/1/2021 18:40,32.61
8/1/2021 18:45,32.51
8/1/2021 18:50,32.42
8/1/2021 18:55,32.15
8/1/2021 19:00,32
8/1/2021 19:05,31.76
8/1/2021 19:10,31.69
8/1/2021 19:15,31.45
8/1/2021 19:20,31.26
8/1/2021 19:25,30.87
8/1/2021 19:30,30.62
8/1/2021 19:35,30.26
8/1/2021 19:40,29.96
8/1/2021 19:45,29.69
8/1/2021 19:50,29.44
8/1/2021 19:55,29.03
8/1/2021 20:00,28.68
8/1/2021 20:05,28.33
8/1/2021 20:10,28.03
8/1/2021 20:15,27.56
8/1/2021 20:20,27.44
8/1/2021 20:25,27.15
8/1/2021 20:30,26.95
8/1/2021 20:35,26.63
8/1/2021 20:40,26.15
8/1/2021 20:45,25.84
8/1/2021 20:50,25.44
8/1/2021 20:55,25.01
8/1/2021 21:00,24.64
8/1/2021 21:05,24.23
8/1/2021 21:10,23.74
8/1/2021 21:15,23.26
8/1/2021 21:20,22.72
8/1/2021 21:25,21.82
8/1/2021 21:30,20.61
8/1/2021 21:35,19.4
8/1/2021 21:40,17.72
8/1/2021 21:45,15.8
8/1/2021 21:50,14.76
8/1/2021 21:55,13.97
8/1/2021 22:00,13.38
8/1/2021 22:05,12.84
8/1/2021 22:10,12.47
8/1/2021 22:15,12.19
8/1/2021 22:20,11.75
8/1/2021 22:25,11.56
8/1/2021 22:30,11.2
8/1/2021 22:35,10.85
8/1/2021 22:40,10.71
8/1/2021 22:45,10.31
8/1/2021 22:50,10.04
8/1/2021 22:55,9.75
8/1/2021 23:00,9.73
8/1/2021 23:05,9.54
8/1/2021 23:10,9.25
8/1/2021 23:15,9.14
8/1/2021 23:20,8.81
8/1/2021 23:25,8.65
8/1/2021 23:30,8.56
8/1/2021 23:35,8.37
