DateTime,Flow
10/16/2021 15:30,0.021
10/16/2021 15:35,0.00538
10/16/2021 15:40,0.0461
10/16/2021 15:45,0.0926
10/16/2021 15:50,0.152
10/16/2021 15:55,0.167
10/16/2021 16:00,0.178
10/16/2021 16:05,0.196
10/16/2021 16:10,0.286
10/16/2021 16:15,0.225
10/16/2021 16:20,0.312
10/16/2021 16:25,0.275
10/16/2021 16:30,0.446
10/16/2021 16:35,0.454
10/16/2021 16:40,0.462
10/16/2021 16:45,0.459
10/16/2021 16:50,0.524
10/16/2021 16:55,0.614
10/16/2021 17:00,0.717
10/16/2021 17:05,0.781
10/16/2021 17:10,0.764
10/16/2021 17:15,0.925
10/16/2021 17:20,0.968
10/16/2021 17:25,1.07
10/16/2021 17:30,1.09
10/16/2021 17:35,1.23
10/16/2021 17:40,1.25
10/16/2021 17:45,1.49
10/16/2021 17:50,1.59
10/16/2021 17:55,1.83
10/16/2021 18:00,1.84
10/16/2021 18:05,2.06
10/16/2021 18:10,2.35
10/16/2021 18:15,2.48
10/16/2021 18:20,2.73
10/16/2021 18:25,2.99
10/16/2021 18:30,3.35
10/16/2021 18:35,3.71
10/16/2021 18:40,4.12
10/16/2021 18:45,4.36
10/16/2021 18:50,4.67
10/16/2021 18:55,4.85
10/16/2021 19:00,5.06
10/16/2021 19:05,5.28
10/16/2021 19:10,5.46
10/16/2021 19:15,5.67
10/16/2021 19:20,5.84
10/16/2021 19:25,6.01
10/16/2021 19:30,6.34
10/16/2021 19:35,6.65
10/16/2021 19:40,7.13
10/16/2021 19:45,8.72
10/16/2021 19:50,10.82
10/16/2021 19:55,10.74
10/16/2021 20:00,9.59
10/16/2021 20:05,10.04
10/16/2021 20:10,9.93
10/16/2021 20:15,10.56
10/16/2021 20:20,10.64
10/16/2021 20:25,10.66
10/16/2021 20:30,10.37
10/16/2021 20:35,10.33
10/16/2021 20:40,10.26
10/16/2021 20:45,10.07
10/16/2021 20:50,10.06
10/16/2021 20:55,10.11
10/16/2021 21:00,10.11
10/16/2021 21:05,10.36
10/16/2021 21:10,10.77
10/16/2021 21:15,10.99
10/16/2021 21:20,11.22
10/16/2021 21:25,11.16
10/16/2021 21:30,11.25
10/16/2021 21:35,11.47
10/16/2021 21:40,11.88
10/16/2021 21:45,12.71
10/16/2021 21:50,13.8
10/16/2021 21:55,14.72
10/16/2021 22:00,15.98
10/16/2021 22:05,17.01
10/16/2021 22:10,18.52
10/16/2021 22:15,19.75
10/16/2021 22:20,20.76
10/16/2021 22:25,21.33
10/16/2021 22:30,21.48
10/16/2021 22:35,21.4
10/16/2021 22:40,21.04
10/16/2021 22:45,20.38
10/16/2021 22:50,19.19
10/16/2021 22:55,18.31
10/16/2021 23:00,17.5
10/16/2021 23:05,16.68
10/16/2021 23:10,15.89
10/16/2021 23:15,15.07
10/16/2021 23:20,14.34
10/16/2021 23:25,13.55
10/16/2021 23:30,13.17
10/16/2021 23:35,12.47
10/16/2021 23:40,11.82
10/16/2021 23:45,11.24
10/16/2021 23:50,10.91
10/16/2021 23:55,10.49
10/17/2021 0:00,10.09
10/17/2021 0:05,9.68
