Date,Load
11/4/2018,21.9
11/13/2018,36.7
11/30/2018,75.6
12/3/2018,96.8
12/21/2018,42.4
12/22/2018,60.7
1/1/2019,8.5
1/26/2019,84.7
2/3/2019,57.9
3/17/2019,46.6
3/25/2019,29.7
4/9/2019,7.1
4/20/2019,110.9
4/27/2019,57.9
5/11/2019,28.2
5/21/2019,34.6
5/31/2019,11.3
6/3/2019,170.9
6/12/2019,12.0
6/18/2019,170.9
10/19/2019,144.8
10/27/2019,13.4
10/31/2019,340.4
11/23/2019,73.4
11/28/2019,87.6
12/13/2019,13.4
12/17/2019,11.3
12/31/2019,26.1
1/6/2020,12.0
1/13/2020,189.3
1/30/2020,10.6
2/27/2020,45.9
3/5/2020,258.5
3/11/2020,21.2
3/14/2020,32.5
3/31/2020,28.2
4/6/2020,10.6
4/15/2020,60.0
4/30/2020,10.6
12/1/2020,81.0
12/25/2020,119.2
1/17/2021,1.8
