Date,Site,Runoff (m3/ha),TP conc,TP load,SRP conc,SRP load,Drainage Area (ha),Event Volume (m3)
10/17/2019,DCS-SUB,116.4,4040.0,470.2,T,#VALUE!,8.0,931.0
10/17/2019,DCS-SUR,1.7,SR,#VALUE!,SR ,#VALUE!,1.0,1.7
10/17/2019,DCN-SUR,69.6,5970.0,415.8,T,#VALUE!,0.7,45.3
10/17/2019,DCN-SUB,#VALUE!,M,#VALUE!,M,#VALUE!,4.8,M
10/23/2019,DCS-SUB,18.7,SR,#VALUE!,SR,#VALUE!,8.0,149.8
10/23/2019,DCS-SUR,#VALUE!,NH,#VALUE!,NH,#VALUE!,1.0,NH
10/23/2019,DCN-SUR,4.0,2670.0,10.7,SR,#VALUE!,0.7,2.6
10/23/2019,DCN-SUB,45.0,SR,#VALUE!,SR,#VALUE!,4.8,215.8
10/27/2019,DCS-SUB,41.0,1650.0,67.6,403.0,16.5,8.0,327.8
10/27/2019,DCS-SUR,#VALUE!,NH,#VALUE!,NH,#VALUE!,1.0,NH
10/27/2019,DCN-SUR,17.5,2790.0,48.9,769.0,13.5,0.7,11.4
10/27/2019,DCN-SUB,96.9,SR,#VALUE!,SR,#VALUE!,4.8,464.9
10/31/2019,DCS-SUB,111.3,1810.0,201.5,SR,#VALUE!,8.0,890.5
10/31/2019,DCS-SUR,45.3,3170.0,143.6,1080 T,#VALUE!,1.0,45.3
10/31/2019,DCN-SUR,300.3,3230.0,970.0,SR,#VALUE!,0.7,195.2
10/31/2019,DCN-SUB,340.0,P,#VALUE!,P,#VALUE!,4.8,1632.0
11/24/2019,DCS-SUB,#VALUE!,666.0,#VALUE!,SR,#VALUE!,8.0,NH
11/24/2019,DCS-SUR,#VALUE!,NH,#VALUE!,NH,#VALUE!,1.0,NH
11/24/2019,DCN-SUR,#VALUE!,NH,#VALUE!,NH,#VALUE!,0.7,NH
11/24/2019,DCN-SUB,#VALUE!,468.0,#VALUE!,SR,#VALUE!,4.8,NH
11/28/2019,DCS-SUB,44.8,1190.0,53.3,SR,#VALUE!,8.0,358.0
11/28/2019,DCS-SUR,2.0,SR,#VALUE!,SR,#VALUE!,1.0,2.0
11/28/2019,DCN-SUR,#VALUE!,NH,#VALUE!,NH,#VALUE!,0.7,NH
11/28/2019,DCN-SUB,117.6,1120.0,131.7,SR,#VALUE!,4.8,564.3
