Date,Site,Runoff (m3/ha),TP FWMC,TP Load,SRP FWMC,SRP Load,Drainage Area (ha),Volume (m3)
7/31/2021,DCSSUB,9.9,312,3.1,62.2,0.6,8,79
7/31/2021,DCNSUB,13.8,251,3.5,84.7,1.2,4.9,66.8
8/2/2021,DCSSUB,112.3,598,67.2,105,11.8,8,898.5
8/2/2021,DCNSUB,153.2,831,127.3,152,23.3,4.9,742.9
8/20/2021,DCSSUB,141.1,348,49.1,92.6,13.1,8,1128.9
8/20/2021,DCNSUB,175.2,456,79.9,66,11.6,4.9,849.8
9/9/2021,DCSSUB,24.8,345,8.6,45.9,1.1,8,198.3
9/9/2021,DCNSUB,24.3,240,5.8,50.5,1.2,4.9,117.8
9/24/2021,DCSSUB,13.4,648,8.7,66.2,0.9,8,107.1
9/24/2021,DCNSUB,16.3,949,15.4,167,2.7,4.9,78.8
10/17/2021,DCSSUB,45.3,,,264,12,8,362.7
10/17/2021,DCNSUB,50,,,412,20.6,4.9,242.7
