AHS QF IEA,DCS QF IEA,DCN QF IEA
-0.21,0.2697,0.282
-0.16,4.06,2.76
-0.44,-0.16,0.297
-0.09,-0.419,0.3399
-0.26,-0.2,0.17
-0.21,-0.4994,-0.153
-0.16,-0.314,-0.1286
-0.23,-0.32,-0.225
-0.08,-0.36993,-0.319
-0.14,-0.3497,-0.214
-0.3,-0.176,-0.472
-0.37,-0.326,-0.305
-0.05,-0.327,-0.288
-0.2,-0.238,-0.202
-0.26,0.939,-0.277
-0.42,-0.216,-0.3728
-0.08,,-0.078
-0.31,,-0.0173
-0.16,,
-0.17,,
-0.2,,
-0.43,,
-0.42,,
-0.84,,
-0.45,,
-0.27,,
-0.37,,
-0.1,,
-0.19,,
-0.19,,
-0.23,,
-0.24,,
-0.31,,
-0.07,,
-0.2,,
-0.36,,
-0.18,,
-0.8,,
-0.31,,
-0.06,,
