Date,Site,Runoff..m3.ha.,TP.conc,TP.load,SRP.conc,SRP.load,Drainage.Area..ha.,Event.Volume..m3.
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10/17/2019,DCS-SUB,116.4,1550,180.4,NA,NA,8,931
10/17/2019,DCS-SUR,1.7,4040,6.9,NA,NA,1,1.7
10/17/2019,DCN-SUR,64.7,5970,386.3,NA,NA,0.7,45.3
10/17/2019,DCN-SUB,NA,2770,NA,NA,NA,4.8,NA
10/23/2019,DCS-SUB,18.7,NA,NA,NA,NA,8,149.8
10/23/2019,DCS-SUR,NA,NA,NA,NA,NA,1,NA
10/23/2019,DCN-SUR,3.7,2670,9.9,NA,NA,0.7,2.6
10/23/2019,DCN-SUB,45,NA,NA,NA,NA,4.8,215.8
10/27/2019,DCS-SUB,41,1650,67.6,403,16.5,8,327.8
10/27/2019,DCS-SUR,NA,NA,NA,NA,NA,1,NA
10/27/2019,DCN-SUR,16.3,2790,45.4,769,12.5,0.7,11.4
10/27/2019,DCN-SUB,96.9,NA,NA,NA,NA,4.8,464.9
10/31/2019,DCS-SUB,111.3,1810,201.5,NA,NA,8,890.5
10/31/2019,DCS-SUR,45.3,3170,143.6,NA,NA,1,45.3
10/31/2019,DCN-SUR,278.9,3230,900.7,NA,NA,0.7,195.2
10/31/2019,DCN-SUB,340,NA,NA,NA,NA,4.8,1632
11/24/2019,DCS-SUB,NA,666,NA,NA,NA,8,NA
11/24/2019,DCS-SUR,NA,NA,NA,NA,NA,1,NA
11/24/2019,DCN-SUR,NA,NA,NA,NA,NA,0.7,NA
11/24/2019,DCN-SUB,NA,468,NA,NA,NA,4.8,NA
11/28/2019,DCS-SUB,44.8,1190,53.3,NA,NA,8,358
11/28/2019,DCS-SUR,2,NA,NA,NA,NA,1,2
11/28/2019,DCN-SUR,NA,NA,NA,NA,NA,0.7,NA
11/28/2019,DCN-SUB,117.6,1120,131.7,NA,NA,4.8,564.3
12/10/2019,DCS-SUB,21,574,12.1,245,5.2,8,168.3
12/10/2019,DCS-SUR,NA,NA,NA,NA,NA,1,NA
12/10/2019,DCN-SUR,NA,NA,NA,NA,NA,0.7,NA
12/10/2019,DCN-SUB,70.8,538,38.1,234,16.6,4.8,339.7
12/15/2019,DCS-SUB,14.5,487,7,238,3.4,8,115.8
12/15/2019,DCS-SUR,NA,NA,NA,NA,NA,1,NA
12/15/2019,DCN-SUR,8.6,780,6.7,404,3.5,0.7,6
12/15/2019,DCN-SUB,37.3,580,21.6,197,7.3,4.8,179
12/28/2019,DCS-SUB,NA,NA,NA,NA,NA,8,NA
12/28/2019,DCS-SUR,NA,NA,NA,NA,NA,1,NA
12/28/2019,DCN-SUR,10.3,642,6.6,141,1.5,0.7,7.2
12/28/2019,DCN-SUB,NA,238,NA,118,NA,4.8,NA
12/30/2019,DCS-SUB,34.7,610,21.2,NA,NA,8,277.7
12/30/2019,DCS-SUR,NA,NA,NA,NA,NA,1,NA
12/30/2019,DCN-SUR,42,596,25,NA,NA,0.7,29.4
